12/09/2016 17:15:39: Starting 
12/09/2016 17:15:40: Temp: 30.0 C  Humidity: 51.0 % 
12/09/2016 17:15:42: Email sent to admin 
12/09/2016 17:16:12: Temp: 28.0 C  Humidity: 61.0 % 
12/09/2016 17:16:43: Temp: 28.0 C  Humidity: 63.0 % 
12/09/2016 17:17:16: Temp: 28.0 C  Humidity: 68.0 % 
12/09/2016 17:17:46: Temp: 28.0 C  Humidity: 68.0 % 
12/09/2016 17:18:17: Temp: 27.0 C  Humidity: 70.0 % 
12/09/2016 17:18:48: Temp: 28.0 C  Humidity: 76.0 % 
12/09/2016 17:19:18: Temp: 27.0 C  Humidity: 81.0 % 
12/09/2016 17:19:49: Temp: 27.0 C  Humidity: 85.0 % 
12/09/2016 17:20:24: Temp: 27.0 C  Humidity: 89.0 % 
12/09/2016 17:20:55: Temp: 27.0 C  Humidity: 89.0 % 
12/09/2016 17:21:25: Temp: 27.0 C  Humidity: 89.0 % 
12/09/2016 17:21:56: Temp: 27.0 C  Humidity: 89.0 % 
12/09/2016 17:22:26: Temp: 27.0 C  Humidity: 90.0 % 
12/09/2016 17:22:57: Temp: 27.0 C  Humidity: 91.0 % 
12/09/2016 17:23:28: Temp: 26.0 C  Humidity: 92.0 % 
12/09/2016 17:23:58: Temp: 27.0 C  Humidity: 91.0 % 
12/09/2016 17:24:29: Temp: 27.0 C  Humidity: 91.0 % 
12/09/2016 17:24:59: Temp: 27.0 C  Humidity: 91.0 % 
12/09/2016 17:25:30: Temp: 27.0 C  Humidity: 91.0 % 
12/09/2016 17:26:05: Temp: 26.0 C  Humidity: 93.0 % 
12/09/2016 17:26:36: Temp: 27.0 C  Humidity: 91.0 % 
12/09/2016 17:27:07: Temp: 26.0 C  Humidity: 93.0 % 
12/09/2016 17:27:40: Temp: 26.0 C  Humidity: 93.0 % 
12/09/2016 17:28:11: Temp: 26.0 C  Humidity: 93.0 % 
12/09/2016 17:28:44: Temp: 26.0 C  Humidity: 93.0 % 
12/09/2016 17:29:14: Temp: 26.0 C  Humidity: 93.0 % 
12/09/2016 17:29:47: Temp: 26.0 C  Humidity: 93.0 % 
12/09/2016 17:30:18: Temp: 26.0 C  Humidity: 93.0 % 
12/09/2016 17:30:48: Temp: 26.0 C  Humidity: 93.0 % 
12/09/2016 17:31:19: Temp: 26.0 C  Humidity: 93.0 % 
12/09/2016 17:31:50: Temp: 26.0 C  Humidity: 93.0 % 
12/09/2016 17:32:23: Temp: 26.0 C  Humidity: 93.0 % 
12/09/2016 17:32:53: Temp: 26.0 C  Humidity: 93.0 % 
12/09/2016 17:33:29: Temp: 26.0 C  Humidity: 93.0 % 
12/09/2016 17:33:59: Temp: 26.0 C  Humidity: 93.0 % 
12/09/2016 17:34:30: Temp: 26.0 C  Humidity: 93.0 % 
12/09/2016 17:35:11: Temp: 25.0 C  Humidity: 93.0 % 
12/09/2016 17:35:41: Temp: 26.0 C  Humidity: 93.0 % 
12/09/2016 17:36:12: Temp: 26.0 C  Humidity: 93.0 % 
12/09/2016 17:36:42: Temp: 25.0 C  Humidity: 93.0 % 
12/09/2016 17:37:13: Temp: 26.0 C  Humidity: 93.0 % 
12/09/2016 17:37:43: Temp: 25.0 C  Humidity: 93.0 % 
12/09/2016 17:38:14: Temp: 26.0 C  Humidity: 93.0 % 
12/09/2016 17:38:47: Temp: 25.0 C  Humidity: 93.0 % 
12/09/2016 17:39:20: Temp: 26.0 C  Humidity: 93.0 % 
12/09/2016 17:39:51: Temp: 25.0 C  Humidity: 93.0 % 
12/09/2016 17:40:26: Temp: 25.0 C  Humidity: 93.0 % 
12/09/2016 17:40:57: Temp: 25.0 C  Humidity: 93.0 % 
12/09/2016 17:41:27: Temp: 25.0 C  Humidity: 93.0 % 
12/09/2016 17:41:58: Temp: 25.0 C  Humidity: 93.0 % 
12/09/2016 17:42:28: Temp: 25.0 C  Humidity: 93.0 % 
12/09/2016 17:43:02: Temp: 25.0 C  Humidity: 93.0 % 
12/09/2016 17:43:32: Temp: 25.0 C  Humidity: 93.0 % 
12/09/2016 17:44:03: Temp: 25.0 C  Humidity: 93.0 % 
12/09/2016 17:44:33: Temp: 25.0 C  Humidity: 93.0 % 
